mc_id,mc_name,mc_url
IATS,Interactive Brokers LLC,https://www.interactivebrokers.com/en/index.php?f=2333
ICBX,Instinet LLC,https://www.instinet.com/order-disclosures
INTL,StoneX Financial Inc.,https://vrs.vista-one-solutions.com/sec605rule.aspx
JEFF,Jefferies LLC,mta.ihsmarkit.com/app-v2/public-report-library/public-report-library-view/Jefferies Group LLC/287
JNST,JANE STREET CAPITAL LLC,https://www.janestreet.com/execution-quality-reports
JPBX,J.P. Morgan Securities LLC,https://vrs.vista-one-solutions.com/sec605rule.aspx
JPMS,J.P. MORGAN SECURITIES LLC,https://vrs.vista-one-solutions.com/sec605rule.aspx
JPMX,J.P. MORGAN SECURITIES LLC,https://vrs.vista-one-solutions.com/sec605rule.aspx
JSCA,Jane Street Capital LLC,http://www.janestreet.com/execution-quality-reports
JSJX,JANE STREET CAPITAL LLC,https://www.janestreet.com/execution-quality-reports
KBWI,KEEFE BRUYETTE & WOODS INC.,http://disclosures.bestxstats.com/kbwi/605/
KEYB,KEYBANC CAPITAL MARKETS INC.,https://www.fisglobal.com/en/ptc/rule-605
KING,C. L. KING & ASSOCIATES INC.,https://vrs.vista-one-solutions.com/sec605rule.aspx
LATS,BARCLAYS CAPITAL INC.,https://vrs.vista-one-solutions.com/sec605rule.aspx
LEER,LEERINK Partners LLC,https://vrs.vista-one-solutions.com/sec605rule.aspx
LEHM,BARCLAYS CAPITAL INC.,https://vrs.vista-one-solutions.com/sec605rule.aspx
LQNA,Liquidnet H2O,http://www.liquidnet.com/pages/monthly-execution-reports
LQNT,LIQUIDNET,http://www.liquidnet.com/pages/monthly-execution-reports
MACQ,MACQUARIE CAPITAL (USA) INC.,http://vrs.vista-one-solutions.com/sec605rule.aspx
MAXM,MAXIM GROUP LLC,https://www.maximgrp.com/public-disclosures/
MLCO,BofA Securities Inc.,https://www.bofaml.com/en-us/content/best_execution.html
MLIX,Instinct X,https://www.bofaml.com/en-us/content/best_execution.html
MSCO,MORGAN STANLEY & CO. LLC,https://external.s3.com/rule605/msco/
MZHO,MIZUHO SECURITIES USA INC.,http://public.s3.com/rule605/mzho/
NFSC,NATIONAL FINANCIAL SERVICES LLC,https://vrs.vista-one-solutions.com/sec605rule.aspx
NITE,Virtu Americas LLC,https://www.virtu.com/about/transparency/rule-605-and-606-reporting/
OPCO,OPPENHEIMER & CO. INC.,http://external.s3.com/rule605/opco
OTAA,OTA LLC,https://www.otallc.com/OTA_605.html
PAUL,PAULSON INVESTMENT CO. INC.,https://abelnoser.com/605-paulson.html
PIPR,PIPER JAFFRAY & CO.,https://vrs.vista-one-solutions.com/sec605rule.aspx
PPFD,Pershing LLC,https://nms605.karngroup.com/48d68ad95546424752413d3d
RAJA,RAYMOND JAMES & ASSOCIATES INC.,https://www.fisglobal.com/ptc/rule-605
RBCM,RBC CAPITAL MARKETS LLC,http://disclosure.bestxstats.com/rbcm/605/
RHCO,TRUIST SECURITIES INC.,https://vrs.vista-one-solutions.com/sec605rule.aspx
RILY,B. Riley Securities Inc.,https://brileyfin.com/disclosures#securities
SBSH,CITIGROUP GLOBAL MARKETS INC.,icg.citi.com/rcs/icgPublic/storage/public/disclosures/SEC-Rule-605-Disclosure.pdf
SGAS,SG Americas Securities LLC,https://www.sgasdisclosure.com/en/order-handling/order-execution-routing-practices-sec-rule-605-606/
SGMT,Goldman Sachs & Co LLC,https://www.goldmansachs.com/compliance-rule605/index.html
SOHO,TWO SIGMA SECURITIES LLC,https://vrs.vista-one-solutions.com/sec605rule.aspx
SPHN,STEPHENS INC.,http://disclosures.bxstech.com/sphn
STFL,STIFEL NICOLAUS & COMPANY INC,http://disclosures.bestxstats.com/stfl/605/
SUFI,SUSQUEHANNA FINANCIAL GROUP LLP,https://www.sig.com/disclosures/sfg-sec-rule-605-report/
UBSA,UBS ATS,https://vrs.vista-one-solutions.com/sec605rule.aspx
UBSS,UBS SECURITIES LLC,https://vrs.vista-one-solutions.com/sec605rule.aspx
VERT,THE VERTICAL TRADING GROUP LLC,http://disclosures.bxstech.com/vert/605/
VIRT,Virtu Americas LLC,https://www.virtu.com/about/transparency/rule-605-and-606-reporting/
VNDM,Wall Street Access,https://public.s3.com/rule605/vndm/
WABR,WALL STREET ACCESS,https://public.s3.com/rule605/vndm
WBLR,WILLIAM BLAIR & COMPANY LLC,https://www.abelnoser.com/605-william-blair.html
WBSI,Wedbush Securities Inc.,http://public.s3.com/rule605/wedb/
XTXE,XTX Execution Services LLC,https://www.xtxmarkets.com/execution-quality-reports/
